episode,title,question,option_a,option_b,option_c,option_d,correct,
s1e1,פרק 1: דמות מוזרה,על איזה נושא רצתה סתיו לדבר בתחילת ההסכת?,פוליטיקה והיסטוריה,איך מבשלים מרק תירס,"כתמים (שוקולד, נשיקה, ציור על הקיר)",סוגי דולפינים בתאילנד,אפשרות ג',
s1e1,פרק 1: דמות מוזרה,היכן מצאה סתיו את נדה בפעם הראשונה?,בתוך המקלחת שלה,בתוך המקרר במטבח,בגינה ליד עצי הברוש,ישנה מתחת לשולחן בסלון,אפשרות א',
s1e1,פרק 1: דמות מוזרה,לאיזה שם שינתה סבתא של סתיו את שמה בתאילנד?,שרה,נדה,אמליה,שקטי,אפשרות ד',
s1e1,פרק 1: דמות מוזרה,"מהו ה""כישופון"" לפי דבריה של נדה?",ספר מתכונים למרקים,מכשיר רב עוצמה שהיא פיתחה,סוג של ירק ישן מהשוק,טלפון רגיל שקונים בחנות,אפשרות ב',
s1e1,פרק 1: דמות מוזרה,מה נתנה סבתא של סתיו לנדה בתמורה לכישופון?,את הבית שלה וכל מה שבתוכו,קערה של מרק תירס חם,מזרקה של שוקולד לכיור,חלוק רחצה ומגבת,אפשרות א',
s1e1,פרק 1: דמות מוזרה,מה מיוחד בסלון של הנריק מדנמרק?,הוא ממוקם מתחת לאדמה,אין בו חשמל בכלל,הקירות שלו עשויים מזכוכית,הוא עשוי מבד של אוהל,אפשרות ג',
s1e1,פרק 1: דמות מוזרה,איך ישנים בבית של קזויו ביפן?,בתוך חממה עם עץ בננות,על מזרון פוטון שפורסים על הרצפה,על מיטה גבוהה עם רגליים,בתוך אוהל עגול וגדול,אפשרות ב',
s1e1,פרק 1: דמות מוזרה,"מהו ""יורט"" לפי התיאור של אמליה מכליל?",מכונה שמייצרת חשמל מהשמש,סוג של ברז שוקולד במטבח,מפעל לייצור צעצועים,בית גדול ועגול שדומה לאוהל,אפשרות ד',
s1e1,פרק 1: דמות מוזרה,מה צריך לעשות כדי להטעין את הסוללה של הכישופון?,לשיר שיר מהלב,לחבר אותו לשקע חשמל רגיל,למלא אותו במרחב אקולוגי,להשקות אותו בהרבה מים,אפשרות א',
s1e1,פרק 1: דמות מוזרה,איפה החליטה נדה לישון בסוף הפרק?,בתוך היורט של אמליה,מתחת לשולחן בסלון,על מזרון פוטון יפני,בתאילנד עם הדולפינים,אפשרות ב',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,באיזו שעה כיוונה נדה את הכישופון שיצלצל כדי להקליט?,בשש בבוקר,בחצות הלילה,בשלוש לפנות בוקר,בשמונה בערב,אפשרות ב',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,"מהו ""מלטונין"" לפי ההסבר של השכן המסביר?",סוג של פנס לילה,הורמון השינה בגוף,מאכל מתוק שאוכלים בלילה,קול של עטלף,אפשרות ב',
